,,
,학과,인천대학교 가족회사 업종
,임베디드시스템공학과,"산업용 소프트웨어, S/W개발, 통신기기, 소프트웨어 개발 등, IT컨설팅 등, ARM/SoC/Embedded/USN Platform 제작 및 개발,정보통신기기,시스템 개발, 컨설팅, IT교육, 멀티미디어기기, 반도체장비,LED자동화장비,금형, 지리정보 구축, CTI솔루션, Software개발, 유선 통신장비 , 방송 및 무선통신기기, 디스플레이, 기타 무선 통신장비 , 유무선 방송기기 응용장비 외, 홈 오투기기(무선 빨래건조대), 터치 스크린, 생활가전, 기어 및 동력전달장치 , LCD, 휴대용단말기, 통신기기, 무역, 연구개발 용역 등, 전자통신부품, 이동통신 장비부품, 통신장비용 기구물 제작, 종합정보통신 공사, 방송장치, 자동제어, 기계제작, 응용소프트웨어 개발 및 공급업, 컴퓨터시스템 통합 자문 및 구축 서비스업, 원격감지솔루션, 하수 악취 및 역류방지장치, 정보통신, 소프트웨어 개발, LED 디스플레이 , Mini Fan, 기타 엔지니어링, 이동통신 단말기, 컴퓨터 모니터 제조업, 보안시스템, 무인경비, 도난방지시스템, 기타 절연선 및 케이블, 태양광 및 LED 장비, 컴퓨터 주변기기 제조업, 전동기 및 발전기, R&D개발, 환경컨설팅, 컴퓨터시스템 통합 자문 및 구축, 정보시스템 통합 및 구축사업 , 시스템 소프트웨어 개발 및 임대,금융사무기기, 시스템 소프트웨어 개발 및 공급업, 로봇시스템, 연료전지 시험장치, 소프트웨어자문, 개발 및 공급, 반도체장비, LCD제조자동화장비, 태양전지제조자동화장비,LED조명제조,무역업, 무선 통신장비, 방송통신장비, 소프트웨어 , 응용소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업, 시스템 통합, 소프트웨어개발 및 DB구축, S/W개발, 자동제어장치기기 외, 기타 전자부품,응용소프트웨어 개발, 도소매, 서비스, 소프트웨어개발 및 판매, 기술용역 및 무역, 연구 및 개발업, IT, 연구개발, 소프트웨어개발, 3D프린터 제조업, 컴퓨터장비및보안기기"
경영대학,경영학부,"IT컨설팅 등, Cadence OrCAD.PCB,Pspice,IC Design software & 기술컨설팅,서비스, 시스템 솔루션, 컨설팅, 개발, IT교육, CTI솔루션, 생활용품, 인증심사, Software개발, 기술관리, 제품설계, 역설계, 검사, 사업 및 무형 재산권, 디자인, 출판, 디자인 및 출판, 금융, 신용보증, 중소기업자문 및 경영지원, 응용소프트웨어 개발 및 공급업, 컴퓨터시스템 통합 자문 및 구축 서비스업, 원격감지솔루션, 정보통신 공사업, 설계, 감리, 정보통신, 건물개발 및 분양, 보안시스템, 무인경비, 도난방지시스템, 통신장비 및 부품 도매업, 국내외 특허출원 및 심판업무 등, R&D개발, 환경컨설팅, 컴퓨터시스템 통합 자문 및 구축, 정보시스템 통합 및 구축사업 , 시스템 소프트웨어 개발 및 임대, 시스템 소프트웨어 개발 및 공급업, 도소매, 전자부품,기타무역업, 문구용 종이제품 제조업 문구용품 도매업, 신발 및 생활잡화, 시스템 통합, 소프트웨어개발 및 DB구축, 광고 영화 및 비디오물, 집합건물관리용역, 전자상거래업, 도소매,제조업, 제조업,도소매, 제조,서비스, 제조,도소매, 서비스, 제조, 서비스, 그외 기타 기계 및 장비 도매업 , 서비스, 도소매, 서비스업,도소매업 외, 경영컨설팅업 , 연구 및 개발업, 서비스업, 도,소매,제조,무역,공조, 제조, 서비스업 , 제조, 도소매, 제조, 도매, 제조,도소매,도매, 제조업,도매업, 도소매, 도소매, 제조, 서비스, 서비스도매, 서비스,도소매, 제조업, 도소매업, 제조, 서비스, 제조, 서비스 외, 제조업, 서비스업, 제조, 서비스업, 제조, 도소매, 서비스, 도소매 , 제조업, 도소매, 제조, 서비스업, 사무용 가구 및 기기 도매업, 1차 금속제품 도매업 , 인물사진 및 행사용비디오 촬영업 , 전기용 기계장비 및 관련 기자재 도매업 , 가전제품 및 부품 도매업 , 연구개발, 도소매업, 장난감 및 취미용품 도매업, 광고 대행업, 지식서비스, 시장조사 및 여론조사업 , 화장품 도매업 , 제조,도소매,무역, 서비스, 제조업, 제조업, 연구개발업, 제조 및 도,소매, 제조업,도매업,소매, 제조업 도소매, 분석서비스, 서비스,제조업, 제조/도매, 제도/도소매 전시회개최 등, 도매업, 제조.건설.도매, 인사컨설팅, 제조 건설 도소매, 온천개발, 제조업,도소매,임대 서비스/제조/도소매, 서비스업, 도소매업, 제조업 도소매업, 제조업, 도소매"
,세무회계학과,건물개발 및 분양
,테크노경영학과,"IT컨설팅 등, Cadence OrCAD.PCB,Pspice,IC Design software & 기술컨설팅,서비스, 시스템 솔루션, 컨설팅, 개발, IT교육, CTI솔루션, Software개발, 역설계, 검사, 응용소프트웨어 개발 및 공급업, 컴퓨터시스템 통합 자문 및 구축 서비스업, 원격감지솔루션, 정보통신 공사업, 설계, 감리, 정보통신, 소프트웨어 개발, LED 디스플레이 , Mini Fan, 이동통신 단말기, 보안시스템, 무인경비, 도난방지시스템, 통신장비 및 부품 도매업, R&D개발, 환경컨설팅, 컴퓨터시스템 통합 자문 및 구축, 정보시스템 통합 및 구축사업 , 시스템 소프트웨어 개발 및 임대, 시스템 소프트웨어 개발 및 공급업, 전자부품,기타무역업, 응용소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업,소프트웨어개발공급 등, 시스템 통합, 소프트웨어개발 및 DB구축, 전자상거래업, IT, SW개발 및 공급, SW자문,정보서비스, 시스템통합구축,IT컨설팅, 소프트웨어개발, 자료처리업, 소프트웨어자문 및 개발공급, 서비스업(정보통신기술용역), 소프트웨어 개발, 시스템 통합(SI), 포털및기타인터넷 정보매개 서비스업, 응용소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업, 응용소프트웨어 개발 및 공급업 , 데이터베이스 및 온라인정보 제공업 , 기타 정보기술 및 컴퓨터운영 관련 서비스업 , 컴퓨터시스템 통합 자문 및 구축 서비스업, 컴퓨터 프로그래밍 서비스업, 시스템 소프트웨어 개발 및 공급업 , 연구개발, 컴퓨터프로그램개발 및 컨실팅 외, 정보서비스업, 엔지니어링 서비스, 온라인트레이닝"
,바이오경영학과,"신,재생 에너지 (전기,스팀,온수)생산, 화학약품, 기타 육류 가공 및 저장처리업, 기타 식품 첨가물 제조업, 무역,식품"
예술체육대학,조형예술학부,"가구류 일체, 핸드폰 케이스 및 액세서리 등, 주방가구, 자동차 부품 설계, 금형, 제품설계, 패션쥬얼리, 자동차 설계, 자동차 금형, 바이오플랜트 설계, 방송장비, 인쇄출판,산업디자인 및 가구설계, 디자인, 의류, 산업디자인, 산업디자인 등, 디자인 및 출판, 기타 목재가구 , 청소용품, 가구, 목재, 각종 인테리어 내장재 생산판매, 금속캔 및 기타 포장용기, 포장용 유리용기, 생활, 주방용품, 신발 및 생활잡화, 공예상품, 제품도장, 사무가구, 도배, 실내장식 및 내장 목공사업, 돗자리 및 기타 조물제품 제조업 , 건설,서비스,인테리어 외, 전시회개최 등, 조명기기"
,디자인학부,"Cadence OrCAD.PCB,Pspice,IC Design software & 기술컨설팅,서비스, 가구류 일체, 핸드폰 케이스 및 액세서리 등, 생활용품, 주방가구, 자동차 부품 설계, 금형, 제품설계, 패션쥬얼리, 자동차 설계, 자동차 금형, 바이오플랜트 설계, 방송장비, 인쇄출판,산업디자인 및 가구설계, 사무 및 회화용품, 사무용품, 디자인, 의류, 산업디자인, 산업디자인 등, 디자인 및 출판, 가정, 주방용품, 기타 목재가구 , 청소용품, 가구, 목재, 각종 인테리어 내장재 생산판매, 운송장비용 의자, 기타 음향기기 , 금속캔 및 기타 포장용기, 포장용 유리용기, 생활, 주방용품, 신발 및 생활잡화, 남성의류, 산업디자인,영상콘텐츠제작, 생활용품, 잡화, 무역, 컨설팅 의류, 오락 및 스포츠용 보트, 광고 영화 및 비디오물, 공예상품, 제품도장, 사무가구, 시각디자인, 광고, 인쇄, 출력, 제본 및 복사, 도배, 실내장식 및 내장 목공사업, 돗자리 및 기타 조물제품 제조업 , 건설,서비스,인테리어 외, 휴대용 용기, 전시회개최 등"
,공연예술학과,"인물사진 및 행사용비디오 촬영업, 악기및관련기자재유통, 전시회개최 등"
,체육학부,"의료용구, 잡화, 신체교정구, 의료기기, 스포츠센터, 운동 및 경기용구, 의료용품 및 기타 의약관련제품 제조업, 정형외과용 및 신체보정용 기기 제조업, 기타 운동 및 경기용구 제조업, 의료기기, 골프용품, 헬스케어기기, 스포츠용품,공학기술, 의료 서비스"
,운동건강학부,"의료, 의료용구, 잡화, 신체교정구, 의료기기, 스포츠센터, 운동 및 경기용구, 의료용품 및 기타 의약관련제품 제조업, 정형외과용 및 신체보정용 기기 제조업, 기타 운동 및 경기용구 제조업, 의료기기, 골프용품, 치과용기기제조업, 헬스케어기기, 스포츠용품,공학기술, 의료 서비스"
사범대학,국어교육과,"출판, 디자인 및 출판, 교육서비스업, 번역 및 통역서비스업, 지식서비스"
,영어교육과,"출판, 디자인 및 출판, 교육서비스업, 번역 및 통역서비스업, 지식서비스"
,일어교육과,"출판, 디자인 및 출판, 교육서비스업, 번역 및 통역서비스업, 지식서비스"
,수학교육과,"출판, 디자인 및 출판, 금융, 신용보증, 교육서비스업, "
,체육교육과,"의료용구, 잡화, 신체교정구, 의료기기, 스포츠센터, 출판, 디자인 및 출판, 교육서비스업, 정형외과용 및 신체보정용 기기 제조업, 병원사업지원서비스,교육, 골프용품, 지식서비스, 의료 서비스"
,유아교육과,"출판, 디자인 및 출판, 교육서비스업, 지식서비스, 아이돌보미 플랫폼"
,역사교육과,"출판, 디자인 및 출판, 교육서비스업, 지식서비스"
,윤리교육과,"출판, 디자인 및 출판, 교육서비스업, 지식서비스"
도시과학대학,도시행정학과,"소방시설 설치, 엔지니어링, 감리, 토목선설, 엔지니어링산업, 건축 설계, 건축, 설계, 시공, 실내건축, 토공사업, 콘크리트사업, 지리정보 구축, 건축, 토목,소방, 경비, 조경, 인증심사, 건물개발 및 분양, 보안시스템, 무인경비, 도난방지시스템, 하천조성, 건축설계, 컨설팅, 건설사업관리,종함감리, 건축설계,감리, 건축설계(서비스업), 건축관련기술서비스, 환경컨설팅 및 관련 엔지니어링 서비스업, 건설,서비스,인테리어 외"
,도시공학과,"소방시설 설치, 실내건축, 친환경 가구 제조, 건축설계/건설감리 건축관련엔지니어링, 토목설계 및 감리, 난간, 엔지니어링, 감리, 건축재, 토목재 생산, 건축 보조장치, 토목선설,엔지니어링산업, 건축 설계, 건축, 설계, 시공, 실내건축, 토공사업, 콘크리트사업, 지리정보 구축, 건축, 토목,소방, 경비, 조경, 기체 여과기, 건설, 기능성 세라믹 , 배관 및 냉·난방 공사업 , 하천조성, 철근 및 철근콘크리트 공사, 타일 및 유사 비내화 요업제품 제조업 , 건설,제조업, 제조,건설, 건설, 제조, 건설업, 도매, 건설업, 제조업, 산업플랜트 건설업 , 연구개발,토목엔지니어, 토목엔지니어링, 제조업, 건설업,도, 제조.건설.도매, 제조업, 건설업, 제조 건설 도소매"
,건설환경공학부,"실내건축, 친환경 가구 제조, 건축설계/건설감리 건축관련엔지니어링, 토목설계 및 감리, 엔지니어링, 감리, 건축재, 토목재 생산, 건축 보조장치, 토목선설,엔지니어링산업, 건축 설계, 건축, 설계, 시공, 실내건축, 토공사업, 콘크리트사업, 건축, 토목,소방, 경비, 조경, 기체 여과기, 건설, 기능성 세라믹, 하천조성,  철근 및 철근콘크리트 공사, 건설업, 건설, 환경조사, 조경 건설업, 환경컨설팅 및 관련 엔지니어링 서비스업, 환경오염방지시설"
,도시건축학부,"실내건축, 친환경 가구 제조, 건축설계/건설감리 건축관련엔지니어링, 토목설계 및 감리, 난간, 엔지니어링, 감리, 건축재, 토목재 생산, 건축 보조장치, 토목선설,엔지니어링산업, 건축 설계, 건축, 설계, 시공, 실내건축, 토공사업, 콘크리트사업, 지리정보 구축, 건축, 토목,소방, 경비, 조경, 기체 여과기, 건설, 기능성 세라믹 , 배관 및 냉·난방 공사업 , 하천조성, 철근 및 철근콘크리트 공사, 타일 및 유사 비내화 요업제품 제조업 , 건설업, 건설,제조업, 건설,제조, 제조,건설, 토공사, 철근콘크리트공사, 건설, 건축사, 제조, 건설업, 도매, 건설업, 제조업, 측량업, 조경 건설업, 도배, 실내장식 및 내장 목공사업, 건물 및 토목엔지니어링 서비스업 , 산업플랜트 건설업 , 건설,서비스,인테리어 외, 연구개발,토목엔지니어, 토목엔지니어링, 제조업, 건설업,도, 제조.건설.도매, 제조업, 건설업, 제조 건설 도소매"
생명과학기술대학,생명과학부,"건강식품, 바이오 활용 제품, 의료, 화학약품, 연구 및 개발(의학 및 약학 연구개발업), 그외 기타 의료용 기기 제조업, 의료용품 및 기타 의약관련제품 제조업, 물리,화학 및 생물학 연구개발업"
,생명과학부,"건강식품, 바이오 활용 제품, 의료, 화학약품, 물질 검사, 측정 및 분석기구, 닭고기가공,돼지고기가공,쇠고기가공외 가축용사료, 기타 육류 가공 및 저장처리업 , 물리,화학 및 생물학 연구개발업, 친환경장비/축사, 육가공제조업"
,생명과학부,"건강식품, 바이오 활용 제품, 의료, 화학약품, 물질 검사, 측정 및 분석기구, 이화학기기외, 생물학적 제제 제조업 , 그외 기타 의료용 기기 제조업, 의료용품 및 기타 의약관련제품 제조업, 기타 식품 첨가물 제조업, 물리,화학 및 생물학 연구개발업, 치과용기기제조업, 친환경장비/축사"
,생명과학부,"건강식품, 바이오 활용 제품, 의료, 화장품, 건강식품, 화학약품, 의약·보건·사회복지 , 물질 검사, 측정 및 분석기구 , 바이오 제품 서비스, 제조 도소매, 기타 식품 첨가물 제조업, 물리,화학 및 생물학 연구개발업, 무역,식품"
단과대구분없음,동북아국제통상학부,"화물중계및선박, 종합물류, 번역 및 통역서비스업"
동북아물류대학원,동북아물류대학원,번역 및 통역서비스업
