,,
,학과,인천대학교 가족회사 업종
공과대학,기계공학과,"전기자전거, 전열기기, 신,재생 에너지 (전기,스팀,온수)생산, 전기회로기판 부품, LCD 광고 패널, LED 전광판, LED, 전기공급 및 전기제어 장치 , 전기,전자부품, 그외 기타 전기장비, 전구 및 램프, 그외 기타 가정용 전기기기, 전기,전자, 가정용 전기 난방기기, 산업용 전기히터, 전기회로 개폐, 보호 및 접속 장치, 기타 자동차 부품, 전력측정기, 전기자재, 배전반 및 전기자동제어반 , 기타 전기장비, 기타 전기장비 제조업, 가정용 비전기식 조리 및 난방 기구 , 전기기기, 전기변환기기, 전자부품, 일반용 전기 조명장치, 전기배선기구, 전기회로 개폐, 보호 및 접속 장치, 기타 전기기계 및 전기 변환장치 , 태양광 및 LED 장비, 그외 기타 전기장비 , 운송장비용 조명장치 , 가정용 전기 난방기기, 전기공사, 연구개발, 산업용 전기기기, 전기, 전자제품, 기타 가정용 전기기기 제조업, 태양광발전용 모듈,태양광발전장치, 전자부품.전기부품, 통신장비, 무역, 기타 가정용 전자기기, LED 조명군, 기타 가정용 전기기기 , 전기, 전자, 전기용해로, 전기콘트롤러, 기타 조명장치, 제조(전기,전자), 연구 및 개발업, 일반전기 공사업 , 전기(정보통신) 설계 및 감리, 산업용 전기, 자동화 업체(제조업), 기타 발전기 및 전기변환장치 제조업 , 전구 및 램프제조업, 증류기, 열교환기 및 가스발생기 제조업, 기타 발전기 및 전기변환장치 제조업, 전구 및 램프 제조업, 배전반 및 전기자동제어반 제조업 , 그외 기타 전기장비 제조업 , 전기회로 개폐, 보호 및 접속 장치 제조업 , 전기경보 및 신호장치 제조업 , 일반용 전기 조명장치 제조업 , 전기용 기계장비 및 관련 기자재 도매업 , 가정용 전기 난방기기 제조업 , 연구개발, 전기회로기 등, 전기자동제어, 제조. 전기전자외, 전기전자기기, 전기전자부품, 선박전기, 전기,전자기기, 내화단열재`"
,메카트로닉스공학과,"너클프레스, 기계 부품 제조, 반도체설비, 프레스가공, 시험기기 환기장치제조, 전기자전거, 열가공 플랜트, 금속 가구 제조, 전자부품 외, 냉각탑(COOLING TOWER), 발전기 제조, 프레스 플랜트, 금속가공기구, 밸브 제조, 자동제어 설비, HMI, 기계제작, PCB, 반도체 제조 장비, 태양광 제조 장비, LED 제조 장비, 자동세차기, 반도체 테스터장비, 공기순환장치 부품 제조, 태양전지 장비, 전열기기, 세라믹 가공, 금형가공, 기기제작, 전자기기 등, 전자제품, 프레스금형, 반도체장비,LED자동화장비,금형, 산업기계 및 판금물 제작,  LCD장비, LED 전광판, 자동차산업, LED, 금속부품, 자동차, 가전, 반도체 부품 , 광학기기, 그외 기타 자동차부품, 그외 기타 일반목적용 기계, 자동차부품, 자동차 차체용 부품, 그외 기타 자종차 부품, 금속제품, 철강관, 금속단조제품, 디지털 도어록, 주형 및 금형, 사출, 분류안된 금속가공 제품, 구조용 금속판제품 및 금속공작물, 자동차부품 단조금형, 자동차 부품, 금속 절삭기계 , 기어 및 동력전달장치 , 자동차 부품 등, 금속압형제품 , 반도체 장비, 금속가공제품 , 기타 구조용 금속제품, 자동차용 동력전달장치, 금속 조립구조재 , 금속 성형기계, 기타 자동차 부품 , 금속 열처리, 메카트로닉스 시스템, 기외 기타 자동차 부품, 비철금속 주조업, 금속파스너 및 나사제품, 주형 및 금형 제조업 , 각종 금속기계 가공, 금형 및 사출, 금속압형제품, 설치용 금속탱크 및 저장용기, 기타 엔지니어링, 이동통신 단말기, 조립금속제품 , 전동기 및 발전기, 전자코일, 변성기 및 기타 전자유도자,  반도체 제조용 기계, 로봇시스템, 반도체장비, LCD제조자동화장비, 태양전지제조자동화장비,LED조명제조,무역업, 2륜차, 기타 비철금속, 정밀부품가공, 기타 조명장치, 연구 및 개발업, 자동차관련제품설계업, 1차 금속제품 도매업 , 그외 기타 금속가공업, 금속압형제품 제조업 , 금속압형제품 제조업, 구조용 금속판제품 및 금속공작물 제조업 , 금속 조립구조재 제조업, 고철가공처리업, 광학, 광학부품제조, 알루미늄 가공, 로라 에어샤후트"
,전기공학과,"전기자전거, 전열기기, 신,재생 에너지 (전기,스팀,온수)생산, 전기회로기판 부품, LCD 광고 패널, LED 전광판, LED, 전기공급 및 전기제어 장치 , 전기,전자부품, 그외 기타 전기장비, 전구 및 램프, 그외 기타 가정용 전기기기, 전기,전자, 가정용 전기 난방기기, 산업용 전기히터, 전기회로 개폐, 보호 및 접속 장치, 기타 자동차 부품, 전력측정기, 전기자재, 배전반 및 전기자동제어반 , 기타 전기장비, 기타 전기장비 제조업, 가정용 비전기식 조리 및 난방 기구 , 전기기기, 전기변환기기, 전자부품, 일반용 전기 조명장치, 전기배선기구, 전기회로 개폐, 보호 및 접속 장치, 기타 전기기계 및 전기 변환장치 , 태양광 및 LED 장비, 그외 기타 전기장비 , 운송장비용 조명장치 , 가정용 전기 난방기기, 전기공사, 연구개발, 산업용 전기기기, 전기, 전자제품, 기타 가정용 전기기기 제조업, 태양광발전용 모듈,태양광발전장치, 전자부품.전기부품, 통신장비, 무역, 기타 가정용 전자기기, LED 조명군, 기타 가정용 전기기기 , 전기, 전자, 전기용해로, 전기콘트롤러, 기타 조명장치, 제조(전기,전자), 연구 및 개발업, 일반전기 공사업 , 전기(정보통신) 설계 및 감리, 산업용 전기, 자동화 업체(제조업), 기타 발전기 및 전기변환장치 제조업 , 전구 및 램프제조업, 증류기, 열교환기 및 가스발생기 제조업, 기타 발전기 및 전기변환장치 제조업, 전구 및 램프 제조업, 배전반 및 전기자동제어반 제조업 , 그외 기타 전기장비 제조업 , 전기회로 개폐, 보호 및 접속 장치 제조업 , 전기경보 및 신호장치 제조업 , 일반용 전기 조명장치 제조업 , 전기용 기계장비 및 관련 기자재 도매업 , 가정용 전기 난방기기 제조업 , 연구개발, 전기회로기 등, 전기자동제어, 제조. 전기전자외, 전기전자기기, 전기전자부품, 선박전기, 전기,전자기기, 내화단열재"
,전자공학과,"전자부품 외, 반도체 제조 장비, 태양광 제조 장비, LED 제조 장비, 반도체 테스터장비, 태양전지 장비, 전자기기 등, 자동차, 전자부품, 전자제품, 전자부품 조립, 전자부품, 전기,전자부품, 전자기기부품제조, 원형톱, 고주파 유도가열기기, 샤프트, 전자제품, 안테나 RF모듈, 전기,전자, 주방용 전자기기, 가정용 전기 난방기기, 가정용 비전기식 조리 및 난방 기구, 전자카드, 전자부품 실장기판, 난방기구, 생활가전,  전자부품, 전자집적회로 , 전기변환기기, 전자부품, 전자집적회로 , 그외 기타 전자부품, 기타 음향기기 , 컴퓨터 모니터 제조업, 전기, 전자제품, 전자기 측정, 시험 및 분석기구, 전자코일, 변성기 및 기타 전자유도자, 연료전지 시험장치, 그외 기타 전자부품 제조업, 전자부품,기타무역업, 전자부품, 기타 전자부품,응용소프트웨어 개발, 그외 기타전자부품, 전기, 전자, 그외 기타 전자부품 , 제조(전기,전자), 전자,로봇,자동화장비,실험실습기기, 제조(전자부품 외), 연구 및 개발업, 전자, 전자부품, 실험기자재, 엔지니어링 컨설팅, 전자부품, 실험기자재, 이동전화기 제조업  전자응용 공작기계 제조업 , 그외 기타 전자부품 제조업 , 그외 기타 전자부품 제조업, 전자부품, 그외 기타 전자부품 제조업, 전자저항기 제조업, 전자기 측정, 시험 및 분석기구 제조업 , 전자기 측정, 시험 및 분석기구 제조업, 일반용 전기 조명장치 제조업, 연구개발, 전자통신기기,전자기기, 제조. 전기전자외, 전기전자기기, 전기전자부품, 전기,전자기기, 전자부품, 전자제품"
,산업경영공학과,"지리정보시스템, 산업용 소프트웨어, 금속 가구 제조, S/W개발, 소프트웨어 개발 등, 금속가공기구, IT컨설팅 등, Cadence OrCAD.PCB,Pspice,IC Design software & 기술컨설팅,서비스, 금형 및 목형 제조, 시스템 솔루션, 컨설팅, 개발, 시스템 설계, 제작, 정보통신기기, 시스템 개발, 컨설팅, IT교육, 지리정보 구축, CTI솔루션, 인증심사, Software개발, 제품설계, 기술관리, 역설계, 검사, 디자인, 산업디자인, 산업디자인 등, 디자인 및 출판, 중소기업자문 및 경영지원, 응용소프트웨어 개발 및 공급업, 컴퓨터시스템 통합 자문 및 구축 서비스업, 원격감지솔루션, 금형 및 사출, 정보통신 공사업, 설계, 감리, 정보통신, 소프트웨어 개발, LED 디스플레이 , Mini Fan, 기타 엔지니어링, 보안시스템, 무인경비, 도난방지시스템, 국내외 특허출원 및 심판업무 등, R&D개발, 환경컨설팅, 컴퓨터시스템 통합 자문 및 구축, 정보시스템 통합 및 구축사업 , 시스템 소프트웨어 개발 및 임대, 시스템 소프트웨어 개발 및 공급업, 종합물류, 소프트웨어자문, 개발 및 공급, 응용소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업, 소프트웨어개발공급 등, 전자부품.전기부품, 통신장비, 무역, 시스템 통합, 소프트웨어개발 및 DB구축, 산업용 로보트 및 자동화설비, 제조,서비스, 서비스, 제조, 소프트웨어개발, 서비스, 경영컨설팅, 연구 및 개발업, 기업 경영자문 및 소프트웨어 공급, 제조, 서비스업 , IT, 연구및개발, SW개발 및 공급, SW자문,정보서비스, 시스템통합구축,IT컨설팅, 소프트웨어개발, 자료처리업, 전자상거래, 소프트웨어자문 및 개발공급, 응용소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업, 데이터베이스 및 온라인정보 제공업 , 기타 정보기술 및 컴퓨터운영 관련 서비스업 , 컴퓨터시스템 통합 자문 및 구축 서비스업, 컴퓨터 프로그래밍 서비스업, 시스템 소프트웨어 개발 및 공급업 , 연구개발, 컴퓨터프로그램개발 및 컨실팅 외, 제조업, 연구개발업, 정보서비스업, 3D프린터 제조업, 분석서비스"
,신소재공학과,"벽 및 바닥 피복용 플라스틱제품 , 산업용 비경화고무제품, 아스팔트 방수시트, 열전반도체, 소프트웨어개발, 고무제품, 알루미늄 주물 주조업, 그외 기타 플라스틱 제품, 기타 고무제품, 표면처리, 플라스틱 필름, 시트 및 판, 도장 및 기타 피막 처리, 기타 플라스틱 제품, 플라스틱 선, 봉, 관 및 호스, 산업용 비경화고무제품, PCB무전해금도금, 합성수지 및 기타 플라스틱물질, 그외 기타 플라스틱 제품 제조업 , 산업용 비경화고무제품, 주유기 호스, 플라스틱 필름, 시트 및 판, 플라스틱 적층, 도포 및 기타 표면처리 제품 , 고무의류 및 기타 위생용 고무제품, 알루미늄 가공제품, 태양전지용실리콘, 무선정보기기용 기구부품 소재, 기계장비 조립용 플라스틱제품, 섬유제품제조업,도소매, 제조(프라스틱 사출), 플라스틱 포대, 봉투 및 유사제품 제조업 , 산업용 비경화고무제품 제조업,그외 기타 플라스틱 제품 제조업 , 그외 기타 플라스틱 제품 제조업, 어망 및 기타 끈가공품 제조업, 플라스틱 선, 봉, 관 및 호스 제조업 , 연구개발, 적층, 합성 및 특수표면처리 종이 제조업 , 무기질신소재,코팅재, 코팅필름 제조업, 실리콘"
,안전공학과,"폐기물중간처리, 소방시설 설치, 친환경 가구 제조, 팜 폐수 처리 장치 제조, 화물운송, 시설관리, 자동차 정비, 지열 및 폐회수열히트펌프, 자동차산업, 살균수관련제품, 에너지 계측기, 물질 검사, 측정 및 분석기구, 기타 물품취급장비, 로봇시스템, 철근 및 철근콘크리트 공사, 연구 및 개발업, 시설물 안전점검, 서비스,측량사, 기타 구조용 금속제품 제조업 , 연구개발, 도장 및 기타 피막처리업 , 환경오염방지시설, 환경설계,제작"
,에너지화학공학과,"폐기물중간처리, 바이오활용제품, 바이오 고형 연료, 친환경 가구 제조, 팜 폐수 처리 장치 제조, 고순도가스,혼합가스, 세라믹 가공, 신,재생 에너지 (전기,스팀,온수)생산, 기계장비 조립용 플라스틱제품 제조업 , 화장품, 화장품, 건강식품, 세제, 벽 및 바닥 피복용 플라스틱제품 , 합성염료, 유연제 및 기타착색제, 그외 기타 분류안된 화학제품, 합성염료, 유연제 및 기타착색제 , 사진용 화학제품 및 감광재료, 접착제 및 젤라틴, 차량용 케미칼, 플라스틱 발포 성형제품, 산업용 비경화고무제품, 아스팔트 방수시트, 온수온돌패널 구조제, 금형, 기계부품 등의 열처리, 살균수관련제품, 그외 기타 플라스틱 제품, 기타 고무제품, 표면처리, 에너지 계측기, 화학약품, 플라스틱 필름, 시트 및 판, 공기조화장치 , 의약용 화합물 및 항생물질, 도장 및 기타 피막 처리, 기타 화학물질 및 화학 제품, 기타 플라스틱 제품, 플라스틱 선, 봉, 관 및 호스, 화장품, 합성염료, 유연제 및 기타착색제, 금속 열처리, PCB무전해금도금, 합성수지 및 기타 플라스틱물질, 그외 기타 플라스틱 제품 제조업 , 산업용 비경화고무제품 , 의약·보건·사회복지 , 공기조화장치 , 그외 기타 분류안된 화학제품 제조업 , 물질 검사, 측정 및 분석기구, 방수제 외 케미칼, 의학 및 약학연구개발, 물질 검사, 측정 및 분석기구 , 전자코일, 변성기 및 기타 전자유도자, 이화학기기외, 신재생 에너지 관련 제품 및 부자재, 냉동사이클이용보조열원없이고온수개발, 연구 및 개발업, 공기조화장치 제조업 , 기체 여과기 제조업, 증류기, 화장품 도매업, 기체 여과기 제조업 , 라이터, 연소물 및 흡연용품 제조업 , 산업용 비경화고무제품 제조업, 그외 기타 분류안된 화학제품 제조업 , 연구개발, 화장품 제조업 , 기타 비료 및 질소화합물 제조업, 액체 여과기 제조업 , 기타 화학물질 및 화학제품 도매업 , 화장품 도매업 , 환경오염방지시설, 화장품제조, 액체여과기제조업, 친환경장비/축사, 공기조화기 외, 신재생에너지 평가장, 환경설계,제작, 반도체관련 화학제품, 화장품 무역 도소매"
정보기술대학,컴퓨터공학부,"재난경보, 도난방지, 인공위성관련, 통신 시스템, 지리정보시스템, 산업용 소프트웨어, S/W개발, 통신기기, 소프트웨어 개발 등, IT컨설팅 등, ARM/SoC/Embedded/USN Platform 제작 및 개발, 시스템 설계, 제작, 정보통신기기, 시스템 개발, 컨설팅, IT교육, 멀티미디어기기, RFID/USN 이용 네트워크 기기, 지리정보 구축, CTI솔루션, 컴퓨터 부품, Software개발, 터치 스크린, 응용소프트웨어 개발 및 공급업, 컴퓨터시스템 통합 자문 및 구축 서비스업, 원격감지솔루션, 소프트웨어 개발, LED 디스플레이 , Mini Fan, 컴퓨터 모니터 제조업, 보안시스템, 무인경비, 도난방지시스템, 컴퓨터 주변기기 제조업, R&D개발, 환경컨설팅, 컴퓨터시스템 통합 자문 및 구축, 정보시스템 통합 및 구축사업 , 시스템 소프트웨어 개발 및 임대, 시스템 소프트웨어 개발 및 공급업, 소프트웨어자문, 개발 및 공급, 응용소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업, 시스템 통합, 소프트웨어개발 및 DB구축, 기타 전자부품,응용소프트웨어 개발, 제조, 컴퓨터, 소프트웨어 개발, S/W 개발 외, 연구 및 개발업, 컴퓨터주변장치, 소프트웨어 개발 및 공급, IT, 시스템통합구축,IT컨설팅, 소프트웨어개발, 자료처리업, 소프트웨어 및 게임 개발, 전자상거래, 컴퓨터, 사무기기, 소프트웨어, 소프트웨어자문 및 개발공급, 소프트웨어 개발, 시스템 통합(SI), 소프트웨어, 포털및기타인터넷 정보매개 서비스업, 응용소프트웨어 개발 및 공급업, 응용소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업, 응용소프트웨어 개발 및 공급업 , 데이터베이스 및 온라인정보 제공업 , 컴퓨터 제조업, 기타 정보기술 및 컴퓨터운영 관련 서비스업 , 컴퓨터시스템 통합 자문 및 구축 서비스업, 컴퓨터 프로그래밍 서비스업, 시스템 소프트웨어 개발 및 공급업 , 연구개발, 컴퓨터프로그램개발 및 컨실팅 외, 소프트웨어개발, 컴퓨터 소프트웨어, 소프트웨어개발공급업, 정보서비스업, SW개발,통신공사, 소프트웨어 개발업, 소프트웨어개발및공급, 컴퓨터장비및보안기기, 컴퓨터프로그램개발, 소프트웨어 구축업, S/W 개발, 소프트웨어개발,공급, 온라인트레이닝"
,정보통신공학과,"지리정보시스템, 산업용 소프트웨어, 통신기기 부품 제조, S/W개발, 통신기기, 소프트웨어 개발 등, IT컨설팅 등, ARM/SoC/Embedded/USN Platform 제작 및 개발, 시스템 설계, 제작, 정보통신기기, 시스템 개발, 컨설팅, IT교육, 멀티미디어기기, RFID/USN 이용 네트워크 기기, 지리정보 구축, CTI솔루션, Software개발, 유선 통신장비 , 방송 및 무선통신기기, 기타 무선 통신장비 , 유무선 방송기기 응용장비 외, 휴대용단말기, 통신기기, 무역, 연구개발 용역 등, 전자통신부품, 이동통신 장비부품, 통신장비용 기구물 제작, 종합정보통신 공사, 방송장치, 응용소프트웨어 개발 및 공급업, 컴퓨터시스템 통합 자문 및 구축 서비스업, 방송 및 유무선통신장비, 정보통신 공사업, 설계, 감리, 정보통신, 이동통신 단말기, 유무선 통신장비, 통신장비 및 부품 도매업, 기타 절연선 및 케이블, 무선 통신장비, 방송통신장비, 소프트웨어 , 전자부품.전기부품, 통신장비, 무역, 영상, 네트워크, 소프트웨어, 통신, 영상, 네트워크, 소프트웨어, 통신, 통신설비공사, 전자상거래업, 제조, 정보통신기기 연구개발, 연구 및 개발업, IT, 무선통신기기제조업, 전자상거래, 통신 판매업, 전기(정보통신) 설계 및 감리, 서비스업(정보통신기술용역), 도매,제조,소매업, 무역, 컴퓨터주변기기, 통신판매업, 유선 통신장비 제조업, 기타 정보기술 및 컴퓨터운영 관련 서비스업 , 기타 무선 통신장비 제조업 , 연구개발, 기타 무선 통신장비 제조업, 소프트웨어개발, 전자통신기기,전자기기, SW개발,통신공사, 유무선통신기기, 정보통신기기및 공사, 통신기기, 유무선통신기기외"
